[Thu Jun 04 14:15:57 2020] [ERROR] [Base_Controller->rlog_error] -> 130: SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`sos_core`.`audit_trail`, CONSTRAINT `audit_trail_ibfk_1` FOREIGN KEY (`user_id`) REFERENCES `users` (`user_id`) ON DELETE NO ACTION ON UPDATE NO ACTION): #0 C:\xampp\htdocs\sos\application\core\Base_Model.php(130): PDOStatement->execute(Array)
#1 C:\xampp\htdocs\sos\application\core\Base_Model.php(387): Base_Model->query('\r\n\t            ...', Array, false, false, true)
#2 C:\xampp\htdocs\sos\application\core\Common_Model.php(14): Base_Model->insert_data('audit_trail', Array, true, false)
#3 C:\xampp\htdocs\sos\application\models\Audit_trail_model.php(36): Common_Model->insert_data('audit_trail', Array, true)
#4 C:\xampp\htdocs\sos\application\libraries\Audit_trail.php(33): Audit_trail_model->insert_audit_trail(Array)
#5 C:\xampp\htdocs\sos\application\controllers\Auth.php(637): Audit_trail->log_audit_trail('logged out  .', 'USERS')
#6 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Auth->sign_out('342')
#7 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#8 {main}, FILE: C:\xampp\htdocs\sos\application\core\Base_Controller.php, LINE: 77
[Thu Jun 04 16:26:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:26:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:26:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:26:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:26:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:26:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:26:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:26:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:26:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:26:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:27:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:28:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:28:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:28:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:28:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:28:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:28:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:28:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:28:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:28:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:28:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:28:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:28:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:29:34 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:29:34 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:29:34 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:29:34 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:29:34 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:29:34 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:29:34 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:29:34 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:29:34 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:29:34 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:29:34 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:29:34 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:30:24 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:30:24 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:30:24 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:30:24 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:30:24 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:30:24 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:30:24 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:30:24 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:30:24 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:30:24 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:30:24 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:30:24 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:31:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:31:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:31:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:31:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:31:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:31:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:31:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:31:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:31:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:31:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:31:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:31:14 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:04 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:32:54 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Thu Jun 04 16:33:44 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
